Platform ID,Platform Name,Slug,Pillar,Category,Tier,Website URL,RSS Feed URL,YouTube Channel URL,Content Type,Daily Post Frequency,Scrape Status,Priority Rank,Description,Editorial Notes
"plat-tunecore-blog","TuneCore Blog","tunecore-blog","Indie Strategy & D2C","financial","tier2","https://www.tunecore.com/blog","https://www.tunecore.com/feed","","Articles","3","active","30","Independent artist guides, publishing administration, Spotify Canvas tips, and royalty collection.","Tips for managing global publishing administration and mechanicals."
"plat-distrokid-news","DistroKid Newsroom & Guides","distrokid-newsroom","Indie Strategy & D2C","streaming","tier2","https://news.distrokid.com","https://news.distrokid.com/feed","","Articles","2","active","31","Updates on DSP delivery, automated split payouts, Dolby Atmos delivery, and streaming verification.","High-volume aggregator release management updates."
"plat-awal-blog","AWAL Insights","awal-insights","Indie Strategy & D2C","financial","tier2","https://www.awal.com/blog","https://www.awal.com/feed.xml","","Articles","2","active","32","Artist development case studies, global marketing blueprints, and streaming trajectory breakdowns.","Excellent boutique label service breakdowns (Lauv, Little Simz)."
"plat-venice-music","Venice Music Community","venice-music-community","Indie Strategy & D2C","financial","tier2","https://veniceplaybook.com","https://veniceplaybook.com/feed","","Articles","2","active","33","Troy Carter's independent artist distribution platform, synchronization network, and manager resources.","Modern A&R intelligence and sync master placement strategies."
"plat-stem-blog","Stem Dissect","stem-dissect","Indie Strategy & D2C","financial","tier2","https://stem.is/blog","https://stem.is/feed.xml","","Articles","1","active","34","Financial management, royalty split transparency, advance capital modeling, and label accounting.","Financial health and transparent cashflow forecasting for artists."
"plat-two-story-melody","Two Story Melody","two-story-melody","Indie Strategy & D2C","tutorials","tier3","https://twostorymelody.com","https://twostorymelody.com/feed/","","Articles","2","active","35","Songwriting philosophy, album promotional campaigns, and direct fan community building.","Intimate artist interview series exploring the creative story behind indie singles."
"plat-music-think-tank","Music Think Tank","music-think-tank","Indie Strategy & D2C","marketing","tier3","https://www.musicthinktank.com","https://www.musicthinktank.com/mtt/atom.xml","","Articles","2","active","36","Crowdsourced music business forum featuring guest essays by managers, publicists, and booking agents.","Community-driven tactical tips on merchandise and live performance contracts."
"plat-damien-keyes-portal","Damien Keyes Academy","damien-keyes-academy","Indie Strategy & D2C","marketing","tier1","https://damienkeyes.com","","https://www.youtube.com/@DamienKeyes","Multi-Format","3","active","37","Release rollouts, TikTok content funnels, tour marketing, and DIY brand building.","Highly practical daily videos on release momentum and Spotify waterfall strategies."
"plat-andrew-southworth","Andrew Southworth (Music Marketing)","andrew-southworth","Indie Strategy & D2C","marketing","tier2","https://generatormusic.com","","https://www.youtube.com/@AndrewSouthworth","Multi-Format","2","active","38","Meta Ads, TikTok Ad Manager, Spotify algorithmic conversion, and conversion API tracking.","The undisputed master of Meta Ads / Facebook Ads direct conversion funnels for Spotify."
"plat-burstimo","Burstimo Music Marketing","burstimo-music-marketing","Indie Strategy & D2C","marketing","tier2","https://burstimo.com","","https://www.youtube.com/@Burstimo","Multi-Format","2","active","39","Music promotion agency breakdown: TikTok sound trends, playlist pitching scams, and PR strategy.","UK music marketing agency uncovering playlist payola scams and influencer marketing."
"plat-smart-rapper","Smart Rapper (Rob Level)","smart-rapper","Indie Strategy & D2C","tutorials","tier3","https://smartrapper.com","","https://www.youtube.com/@SmartRapper","Videos","1","active","40","Hip-hop career development, vocal delivery techniques, beat leasing contracts, and studio discipline.","Targeted tutorials for independent rappers and hip-hop entrepreneurs."
"plat-spotify-for-artists","Spotify for Artists (News & Blog)","spotify-for-artists","Streaming, Metadata & Rights","streaming","tier1","https://artists.spotify.com/blog","https://artists.spotify.com/blog/rss","","Articles","3","active","41","Official product announcements, Discovery Mode metrics, Canvas best practices, and playlist pitching tips.","Primary source for algorithmic changes, 1000-stream rules, and Countdown Pages."
"plat-apple-music-artists","Apple Music for Artists","apple-music-for-artists","Streaming, Metadata & Rights","streaming","tier1","https://artists.apple.com","https://artists.apple.com/feed.xml","","Articles","1","active","42","Spatial Audio guidelines, Shazam telemetry data, Apple Music Classical, and global radio play analytics.","Key resource for Dolby Atmos spatial audio mixing compliance and Shazam velocity."
"plat-songtrust-blog","Songtrust Blog (Publishing & Royalties)","songtrust-blog","Streaming, Metadata & Rights","legal","tier1","https://blog.songtrust.com","https://blog.songtrust.com/rss.xml","","Articles","2","active","43","Global music publishing administration, mechanical royalty collection, PRO registrations, and sync splits.","Top authority on uncollected black box royalties, ISRC/ISWC mapping, and PRO administration."
"plat-songstats-blog","Songstats Lab","songstats-lab","Streaming, Metadata & Rights","streaming","tier2","https://songstats.com/blog","https://songstats.com/feed","","Research & Data","2","active","44","Real-time cross-platform track analytics, playlist notification alerts, and DJ chart performance.","Live tracking of 1001Tracklists, Beatport, Apple Music, and Spotify playlist additions."
"plat-luminate-mrc","Luminate Data (formerly MRC Data)","luminate-data","Streaming, Metadata & Rights","financial","tier1","https://luminatedata.com/insights","https://luminatedata.com/feed","","Research & Data","2","active","45","The definitive entertainment data platform powering the Billboard Charts and global industry reports.","Authoritative quarterly music consumption, stream volume, and genre share reports."
"plat-viberate","Viberate Analytics","viberate-analytics","Streaming, Metadata & Rights","streaming","tier2","https://www.viberate.com/blog","https://www.viberate.com/feed","","Research & Data","2","active","46","Artist benchmarking, festival lineups intelligence, radio airplay charts, and playlist discovery tools.","Comparative metrics for emerging indie acts vs regional chart toppers."
"plat-future-of-music","Future of Music Coalition","future-of-music-coalition","Streaming, Metadata & Rights","legal","tier2","https://futureofmusic.org","https://futureofmusic.org/feed","","Articles","1","active","47","Artist advocacy, copyright policy, net neutrality, and public policy for creator compensation.","Congressional testimony analysis and legal policy affecting artist streaming equity."
"plat-the-mlc","The Mechanical Licensing Collective (The MLC)","the-mechanical-licensing-collective","Streaming, Metadata & Rights","legal","tier1","https://www.themlc.com/news","https://www.themlc.com/feed.xml","","Articles","1","active","48","Administers blanket mechanical licenses to streaming services in the US and pays mechanical royalties to songwriters.","Essential for US mechanical royalty matching and unmatched black-box search."
"plat-soundexchange-news","SoundExchange Newsroom","soundexchange-newsroom","Streaming, Metadata & Rights","legal","tier1","https://www.soundexchange.com/newsroom","https://www.soundexchange.com/feed/","","Articles","1","active","49","Collects and distributes digital performance royalties for featured artists and master rights owners (Pandora, SiriusXM).","Primary source for statutory satellite and digital radio non-interactive master payouts."
"plat-ascap-blog","ASCAP Inside Music","ascap-inside-music","Streaming, Metadata & Rights","legal","tier2","https://www.ascap.com/music-creators","https://www.ascap.com/rss/news.xml","","Articles","2","active","50","Songwriter advocacy, performance rights distributions, cue sheet compliance, and career workshops.","Public performance rights management and live performance royalty registration."
"plat-bmi-news","BMI News & Songwriter Spotlights","bmi-news","Streaming, Metadata & Rights","legal","tier2","https://www.bmi.com/news","https://www.bmi.com/news/rss","","Articles","2","active","51","Performing rights organization news, Live at the Ace songwriter showcases, and copyright legislative updates.","PRO distribution dates, royalty calendar, and film scoring rights."
"plat-prs-for-music","PRS for Music M-Magazine","prs-for-music-m-mag","Streaming, Metadata & Rights","legal","tier2","https://www.prsformusic.com/m-magazine","https://www.prsformusic.com/m-magazine/rss","","Articles","2","active","52","UK performing rights organization publication covering international touring collections and broadcast sync.","UK and European collection society insights and international sub-publishing."
"plat-copyright-alliance","Copyright Alliance Blog","copyright-alliance","Streaming, Metadata & Rights","legal","tier3","https://copyrightalliance.org/news-events/copyright-news/","https://copyrightalliance.org/feed/","","Articles","2","active","53","US Copyright Office updates, CASE Act small claims tribunal rulings, and AI training dataset litigation.","Legal deep dives into CASE Act copyright small claims court proceedings."
"plat-sync-summit","Sync Summit Insights","sync-summit-insights","Streaming, Metadata & Rights","opportunities","tier3","https://syncsummit.com/blog","https://syncsummit.com/feed","","Articles","1","active","54","Music supervisors, TV/film sync briefs, video game licensing budgets, and master clearing advice.","Music supervisor interviews and master synchronization rate cards."
"plat-aimp","Association of Independent Music Publishers (AIMP)","aimp-news","Streaming, Metadata & Rights","legal","tier3","https://www.aimp.org","https://www.aimp.org/feed.xml","","Articles","1","active","55","Independent publisher education, sub-publishing in foreign territories, and synchronization splits.","Boutique publisher networking and foreign reciprocal collection society deals."
"plat-sound-on-sound","Sound On Sound","sound-on-sound","Audio Engineering & Production","tutorials","tier1","https://www.soundonsound.com","https://www.soundonsound.com/news/feed","https://www.youtube.com/@SoundOnSound","Multi-Format","6","active","56","The world's premier audio recording and music technology magazine.","Unrivaled studio hardware teardowns, microphone shootouts, and mix breakdowns."
"plat-tape-op","Tape Op Magazine","tape-op","Audio Engineering & Production","tutorials","tier1","https://tapeop.com","https://tapeop.com/rss/","","Articles","3","active","57","Creative music recording magazine focusing on real-world engineer interviews and unpretentious studio techniques.","Legendary long-form interviews with iconic audio engineers, tracking workflows, and analog consoles."
"plat-musictech","MusicTech","musictech","Audio Engineering & Production","tech-ai","tier1","https://musictech.com","https://musictech.com/feed/","","Articles","5","active","58","Reviews, tutorials, and buyer guides for modern music producers, synth enthusiasts, and audio professionals.","Top tier reviews of plugin suites, DAWs, MIDI controllers, and audio interfaces."
"plat-attack-mag","Attack Magazine","attack-magazine","Audio Engineering & Production","tutorials","tier1","https://www.attackmagazine.com","https://www.attackmagazine.com/feed/","","Articles","4","active","59","Electronic music production, beat programming, synth patch breakdowns, and studio technique.","Famous 'Beat Dissected' and 'Synth Secrets' step-by-step production series."
"plat-gearspace","Gearspace (formerly Gearslutz)","gearspace","Audio Engineering & Production","tutorials","tier1","https://gearspace.com","https://gearspace.com/board/external.php?type=rss2","","Articles","8","active","60","The largest global community for pro audio engineers, studio builders, and hardware collectors.","Community discussion threads on converter shootouts, outboard preamps, and summing mixers."
"plat-production-expert","Production Expert (Pro Tools / Studio One)","production-expert","Audio Engineering & Production","tutorials","tier2","https://www.production-expert.com","https://www.production-expert.com/production-expert-1?format=rss","","Articles","5","active","61","Independent workflow tutorials for Pro Tools, Studio One, Logic Pro, and Atmos post-production.","Go-to resource for DAW performance optimization, audio driver updates, and plugin compatibility."
"plat-mix-online","Mix Online","mix-online","Audio Engineering & Production","tutorials","tier2","https://www.mixonline.com","https://www.mixonline.com/feed","","Articles","4","active","62","Professional audio, live sound reinforcement, studio architecture, and commercial facility design.","Live concert sound arrays (L-Acoustics, d&b audiotechnik) and immersive theater mixing."
"plat-cdm","CDM (Create Digital Music)","create-digital-music","Audio Engineering & Production","tech-ai","tier2","https://cdm.link","https://cdm.link/feed/","","Articles","3","active","63","Peter Kirn's open-source music hardware, modular synthesis, Max/MSP, and live coding culture.","Focus on Eurorack modular synthesizers, Pure Data, and generative visual-audio performance."
"plat-kvr-audio","KVR Audio News","kvr-audio","Audio Engineering & Production","tech-ai","tier2","https://www.kvraudio.com","https://www.kvraudio.com/news/rss.php","","Articles","10","active","64","The global hub for audio plugins, VSTs, virtual instruments, and soundware release announcements.","Real-time index of every plugin release, VST3 update, and seasonal audio developer sale."
"plat-waves-blog","Waves Audio Blog","waves-audio-blog","Audio Engineering & Production","tutorials","tier2","https://www.waves.com/blog","https://www.waves.com/blog/feed","","Articles","2","active","65","Vocal mixing chains, master bus compression, EQ carving, and multi-track session staging.","Detailed chain walkthroughs from Grammy-winning mix engineers (Chris Lord-Alge, Tony Maserati)."
"plat-izotope-learn","iZotope Learn & Master","izotope-learn","Audio Engineering & Production","tutorials","tier2","https://www.izotope.com/en/learn.html","https://www.izotope.com/en/learn.rss","","Articles","2","active","66","Audio mastering basics, spectral repair with RX, dynamic EQ, and LUFS loudness normalization.","The gold standard for spectral audio restoration, RX repair workflows, and mastering limiter curves."
"plat-splice-blog","Splice Blog","splice-blog","Audio Engineering & Production","tutorials","tier2","https://splice.com/blog","https://splice.com/blog/feed/","","Articles","3","active","67","Sample flipping techniques, beatmaker interviews, CoSo AI creation, and sound design tutorials.","Creative sample manipulation and beat arrangement breakdowns."
"plat-native-instruments","Native Instruments Blog","native-instruments-blog","Audio Engineering & Production","tech-ai","tier2","https://blog.native-instruments.com","https://blog.native-instruments.com/feed/","","Articles","2","active","68","Kontakt scripting, Maschine finger drumming, Traktor DJ routines, and Komplete sound libraries.","Virtual instrument orchestration and electronic music workflows."
"plat-bedroom-producers","Bedroom Producers Blog (BPB)","bedroom-producers-blog","Audio Engineering & Production","tutorials","tier2","https://bedroomproducersblog.com","https://bedroomproducersblog.com/feed/","","Articles","3","active","69","Freeware audio plugins, free sample packs, synthesizers, and budget home studio guides.","Best destination on the web for free legitimate VST plugins and developer giveaways."
"plat-rekkerd","Rekkerd.org","rekkerd","Audio Engineering & Production","tutorials","tier3","https://rekkerd.org","https://rekkerd.org/feed/","","Articles","4","active","70","Audio plugin deals, software synthesizer presets, sample library reviews, and production contests.","Continuous feed of daily plugin discounts and sound pack releases."
"plat-sonicstate","Sonicstate","sonicstate","Audio Engineering & Production","tech-ai","tier2","https://sonicstate.com","https://sonicstate.com/news/rss.xml","https://www.youtube.com/@Sonicstate","Multi-Format","4","active","71","Synthesizer reviews, NAMM / Superbooth gear coverage, and the Sonic TALK weekly podcast.","Nick Batt's legendary synthesizer teardowns and PWM analysis."
"plat-musicradar","MusicRadar Tech","musicradar-tech","Audio Engineering & Production","tutorials","tier2","https://www.musicradar.com/tech","https://www.musicradar.com/rss/news/tech","","Articles","6","active","72","Future Music & Computer Music magazine online articles, DAW reviews, and sample downloads.","Producer masterclasses and producer desk tour breakdowns."
"plat-pensados-place","Pensado's Place","pensados-place","Audio Engineering & Production","tutorials","tier1","https://pensadosplace.tv","","https://www.youtube.com/@PensadosPlace","Multi-Format","2","active","73","Dave Pensado and Herb Trawick's legendary master mix tutorials and top mixer interviews.","The ultimate university for multi-track vocal, drum, and low-end mixing."
"plat-produce-like-a-pro","Produce Like A Pro (Warren Huart)","produce-like-a-pro","Audio Engineering & Production","tutorials","tier1","https://producelikeapro.com","","https://www.youtube.com/@ProduceLikeAPro","Multi-Format","3","active","74","Warren Huart deconstructs legendary multitracks from Aerosmith, The Ramones, and modern hits.","Real multitrack studio breakdowns and classic analog gear comparisons."
"plat-in-the-mix","In The Mix (Michael Wynne)","in-the-mix","Audio Engineering & Production","tutorials","tier1","https://inthemix.io","","https://www.youtube.com/@inthemix","Videos","2","active","75","Crystal clear audio production, EQ curves, dynamic compression, and FL Studio / studio workflows.","Highest pedagogical quality mixing and mastering visual guides online."
"plat-pitchfork","Pitchfork","pitchfork","Culture, Editorial & Discovery","marketing","tier1","https://pitchfork.com","https://pitchfork.com/feed/feed-news/rss","","Articles","10","active","76","The essential guide to independent music criticism, Best New Music, and cultural commentary.","Influential album rating benchmark (BNM) driving indie streaming discovery."
"plat-stereogum","Stereogum","stereogum","Culture, Editorial & Discovery","streaming","tier1","https://www.stereogum.com","https://www.stereogum.com/feed/","","Articles","12","active","77","Daily independent music news, premieres, Album of the Week, and industry opinion.","Fastest breaking indie single drops, festival lineup reveals, and tour reviews."
"plat-bandcamp-daily","Bandcamp Daily","bandcamp-daily","Culture, Editorial & Discovery","marketing","tier1","https://daily.bandcamp.com","https://daily.bandcamp.com/feed","","Articles","4","active","78","Editorial platform celebrating grassroots music scenes, cassette labels, and global sounds.","Essential for niche underground genres, Bandcamp Friday features, and physical merch."
"plat-the-quietus","The Quietus","the-quietus","Culture, Editorial & Discovery","social","tier1","https://thequietus.com","https://thequietus.com/feed/","","Articles","4","active","79","Intelligent, uncompromising music criticism covering experimental, avant-garde, and underground culture.","Thought-provoking long-form cultural essays and avant-garde album reviews."
"plat-dj-mag","DJ Mag","dj-mag","Culture, Editorial & Discovery","marketing","tier1","https://djmag.com","https://djmag.com/feed.xml","","Articles","8","active","80","Global electronic dance music authority, Top 100 DJs, club culture, and festival coverage.","Benchmark for electronic dance music festivals, club residencies, and DJ tech."
"plat-resident-advisor","Resident Advisor (RA)","resident-advisor","Culture, Editorial & Discovery","social","tier1","https://ra.co","https://ra.co/xml/news.xml","","Articles","8","active","81","The global platform for electronic music, club listings, festival ticketing, and investigative journalism.","The undisputed epicenter of underground techno, house, club culture, and ticketing."
"plat-clash-mag","Clash Magazine","clash-magazine","Culture, Editorial & Discovery","marketing","tier2","https://www.clashmusic.com","https://www.clashmusic.com/feed/","","Articles","8","active","82","UK fashion, music, and cultural lifestyle magazine featuring emerging indie and hip-hop stars.","Great tastemaker premieres and high-fashion visual editorial spreads."
"plat-the-line-of-best-fit","The Line of Best Fit","the-line-of-best-fit","Culture, Editorial & Discovery","marketing","tier2","https://www.thelineofbestfit.com","https://www.thelineofbestfit.com/news/rss","","Articles","6","active","83","Independent online music magazine showcasing new music discovery, secret sessions, and festival guides.","Influential tastemaker publication for UK, European, and Scandinavian indie acts."
"plat-nme","NME (New Musical Express)","nme","Culture, Editorial & Discovery","marketing","tier1","https://www.nme.com","https://www.nme.com/feed","","Articles","14","active","84","Historic British pop culture brand covering music, film, gaming, and emerging live talent.","Global youth culture news, festival headliner rumors, and NME 100 essential acts."
"plat-xlr8r","XLR8R","xlr8r","Culture, Editorial & Discovery","marketing","tier2","https://xlr8r.com","https://xlr8r.com/feed/","","Articles","3","active","85","Electronic music, downloads, podcasts, and studio features on underground techno and ambient artists.","Exclusive free music downloads, podcast mixes, and boutique soundscapes."
"plat-the-fader","The FADER","the-fader","Culture, Editorial & Discovery","marketing","tier1","https://www.thefader.com","https://www.thefader.com/feed","","Articles","7","active","86","Definitive voice in modern music culture, breaking emerging hip-hop, R&B, and indie luminaries.","Legendary cover stories that define emerging youth music icons."
"plat-fact-mag","Fact Magazine","fact-magazine","Culture, Editorial & Discovery","tech-ai","tier2","https://www.factmag.com","https://www.factmag.com/feed/","","Multi-Format","3","active","87","Audiovisual culture, 180 Strand exhibitions, 'Against The Clock' 10-minute beat challenges.","Stunning audiovisual art and high-pressure producer creative challenges."
"plat-mixmag","Mixmag","mixmag","Culture, Editorial & Discovery","marketing","tier1","https://mixmag.net","https://mixmag.net/rss.xml","","Articles","8","active","88","Dance music and club culture news, live DJ streams from The Lab, and global nightlife safety.","Pioneer in streaming live DJ sets with global club culture journalism."
"plat-dummy-mag","Dummy Mag","dummy-mag","Culture, Editorial & Discovery","marketing","tier3","https://dummymag.com","https://dummymag.com/feed/","","Articles","3","active","89","Discovery platform for underground future pop, rap, drill, and electronic producers.","Tastemaker curated playlists and premiere coverage for left-field electronic acts."
"plat-loud-and-quiet","Loud and Quiet","loud-and-quiet","Culture, Editorial & Discovery","social","tier3","https://www.loudandquiet.com","https://www.loudandquiet.com/feed/","","Articles","2","active","90","Independent UK music journalism, print zines, and unfiltered long-form profiles.","High-integrity independent music criticism free from corporate PR fluff."
"plat-trapital-podcast","The Trapital Podcast (Dan Runcie)","the-trapital-podcast","Podcasts & Video Channels","podcasts","tier1","https://trapital.co/podcast","https://feeds.buzzsprout.com/264104.rss","https://www.youtube.com/@Trapital","Podcasts","1","active","91","Weekly conversations with top executives, artists, and investors shaping music and entertainment.","Essential podcast for master rights, D2C ventures, and hip-hop executive strategy."
"plat-mbw-podcast","The Music Business Worldwide Podcast","mbw-podcast","Podcasts & Video Channels","podcasts","tier1","https://www.musicbusinessworldwide.com/podcast","https://feeds.buzzsprout.com/1317134.rss","https://www.youtube.com/@MusicBusinessWorldwide","Podcasts","1","active","92","Tim Ingham interviews the power brokers behind the recorded music and music publishing industries.","Interviews with CEOs of Sony, UMG, Warner, Believe, and top private equity investors."
